tipo,ref,cor,numero,quantidade,programacao,status,data_lancamento,data_finalizacao
Costura Pronta,BTCV010,AZUL MARINHO,43,24,Ajuste manual - saida,Lançado,2026-04-02 18:44:12.374219+00,
Costura Pronta,BTCV010,AZUL MARINHO,43,24,Ajuste manual - entrada,Lançado,2026-04-02 18:44:40.231508+00,
Costura Pronta,BTCV010,AMARELO,35,12,Ajuste manual - entrada,Lançado,2026-04-02 19:24:17.9443+00,
Costura Pronta,BTCV010,AMARELO,36,12,Ajuste manual - entrada,Lançado,2026-04-02 19:24:31.27598+00,
Costura Pronta,BTCV010,AMARELO,37,12,Ajuste manual - entrada,Lançado,2026-04-02 19:24:39.554328+00,
Costura Pronta,BTCV010,AMARELO,38,12,Ajuste manual - entrada,Lançado,2026-04-02 19:24:52.272209+00,
Costura Pronta,BTCV010,MILITAR,38,24,Ajuste manual - entrada,Lançado,2026-04-02 19:27:35.781919+00,
Costura Pronta,BTCV010,MILITAR,40,24,Ajuste manual - entrada,Lançado,2026-04-02 19:27:48.343061+00,
Costura Pronta,BTCV010,MILITAR,41,24,Ajuste manual - entrada,Lançado,2026-04-02 19:27:59.285611+00,
Costura Pronta,BTCV010,MILITAR,42,36,Ajuste manual - entrada,Lançado,2026-04-02 19:28:11.756423+00,
Montagem,TNCV010,PRETO,34,12,28/03 - CANO BAIXO PRETO,Finalizado,2026-04-02 19:09:26.952138+00,2026-04-02 19:34:36.909+00
Montagem,TNCV010,PRETO,35,24,28/03 - CANO BAIXO PRETO,Finalizado,2026-04-02 19:09:26.952138+00,2026-04-02 19:34:36.909+00
Montagem,TNCV010,PRETO,36,36,28/03 - CANO BAIXO PRETO,Finalizado,2026-04-02 19:09:26.952138+00,2026-04-02 19:34:36.909+00
Montagem,TNCV010,PRETO,37,36,28/03 - CANO BAIXO PRETO,Finalizado,2026-04-02 19:09:26.952138+00,2026-04-02 19:34:36.909+00
Montagem,TNCV010,PRETO,38,24,28/03 - CANO BAIXO PRETO,Finalizado,2026-04-02 19:09:26.952138+00,2026-04-02 19:34:36.909+00
Montagem,BTCV010,ALL BLACK,44,36,28/03 - CANO ALTO ALL BLACK,Finalizado,2026-04-02 19:15:42.020624+00,2026-04-02 19:34:39.523+00
Montagem,BTCV010,LÍLÁS,34,12,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,LÍLÁS,35,12,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,LÍLÁS,36,24,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,LÍLÁS,37,24,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,LÍLÁS,38,24,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,LÍLÁS,40,12,28/03 - CANO ALTO LILAS,Finalizado,2026-04-02 19:16:32.671138+00,2026-04-02 19:34:41.826+00
Montagem,BTCV010,AZUL MARINHO,39,24,28/03 - CANO ALTO AZUL MARINHO,Finalizado,2026-04-02 19:17:15.129484+00,2026-04-02 19:34:44.283+00
